2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_153726.png,pdm_1d_20250411_153726.png,"[19.764829635620117, 16.000398635864258, 14.987480163574219, 3.6505701541900635]",0,0,0
pdm_2d_20250411_153820.png,pdm_1d_20250411_153820.png,"[6.046408176422119, 20.538835525512695, 19.770952224731445, 4.778357028961182]",0,1,1
pdm_2d_20250411_153906.png,pdm_1d_20250411_153906.png,"[1.944594383239746, 32.10627746582031, 21.27899169921875, 5.1692962646484375]",2,1,2
pdm_2d_20250411_153954.png,pdm_1d_20250411_153954.png,"[0.716460108757019, 38.21919631958008, 21.689899444580078, 5.227394104003906]",2,1,3
pdm_2d_20250411_154042.png,pdm_1d_20250411_154042.png,"[0.34841233491897583, 40.578678131103516, 21.851089477539062, 5.2060346603393555]",2,1,4
pdm_2d_20250411_154129.png,pdm_1d_20250411_154129.png,"[0.253526508808136, 38.769107818603516, 21.935274124145508, 5.178965091705322]",2,1,5
