2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_154251.png,pdm_1d_20250411_154251.png,"[18.462970733642578, 15.809261322021484, 15.187607765197754, 3.9273674488067627]",0,0,0
pdm_2d_20250411_154339.png,pdm_1d_20250411_154339.png,"[5.662652969360352, 18.19659423828125, 20.045812606811523, 5.22390079498291]",0,2,1
pdm_2d_20250411_154432.png,pdm_1d_20250411_154432.png,"[1.8199901580810547, 19.826749801635742, 20.060815811157227, 5.847892761230469]",0,1,2
pdm_2d_20250411_154519.png,pdm_1d_20250411_154519.png,"[0.6659820079803467, 28.681915283203125, 20.292678833007812, 6.093759536743164]",2,1,3
None,None,"[0.6659820079803467, 28.681915283203125, 20.292678833007812, 6.093759536743164]",0,1,4
