2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_151230.png,pdm_1d_20250411_151230.png,"[20.395280838012695, 17.559951782226562, 15.510775566101074, 3.503021001815796]",0,0,0
pdm_2d_20250411_151322.png,pdm_1d_20250411_151322.png,"[6.235785007476807, 22.527381896972656, 20.285369873046875, 4.548181533813477]",0,1,1
pdm_2d_20250411_151409.png,pdm_1d_20250411_151409.png,"[1.9963288307189941, 33.70412063598633, 21.74502182006836, 4.884329319000244]",2,1,2
None,None,"[1.9963288307189941, 33.70412063598633, 21.74502182006836, 4.884329319000244]",0,1,3
