2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_222938.png,pdm_1d_20250411_222939.png,"[8.258606910705566, 12.308944702148438, 26.107189178466797, 4.014892101287842]",0,2,0
pdm_2d_20250411_223030.png,pdm_1d_20250411_223030.png,"[10.845867156982422, 15.674793243408203, 13.7230806350708, 5.8504557609558105]",0,1,1
pdm_2d_20250411_223123.png,pdm_1d_20250411_223123.png,"[10.450387001037598, 12.941170692443848, 11.199517250061035, 6.387031078338623]",0,1,2
None,None,"[10.450387001037598, 12.941170692443848, 11.199517250061035, 6.387031078338623]",0,1,3
