2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_165814.png,pdm_1d_20250411_165814.png,"[8.77596664428711, 49.293312072753906, 12.717092514038086, 25.965730667114258]",0,1,0
pdm_2d_20250411_165854.png,pdm_1d_20250411_165854.png,"[8.062055587768555, 16.049636840820312, 14.477567672729492, 25.129261016845703]",0,3,1
pdm_2d_20250411_165940.png,pdm_1d_20250411_165940.png,"[6.911003589630127, 14.970541000366211, 12.797403335571289, 12.258460998535156]",0,1,2
None,None,"[6.911003589630127, 14.970541000366211, 12.797403335571289, 12.258460998535156]",0,1,3
