2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_164840.png,pdm_1d_20250411_164840.png,"[15.86207103729248, 50.13570022583008, 21.14982032775879, 44.76007080078125]",0,1,0
pdm_2d_20250411_164918.png,pdm_1d_20250411_164918.png,"[17.172840118408203, 40.857017517089844, 18.910802841186523, 46.194435119628906]",0,3,1
pdm_2d_20250411_165003.png,pdm_1d_20250411_165003.png,"[18.091445922851562, 42.073612213134766, 18.25459098815918, 17.645841598510742]",0,1,2
None,None,"[18.091445922851562, 42.073612213134766, 18.25459098815918, 17.645841598510742]",0,1,3
