2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_154134.png,pdm_1d_20250414_154134.png,"[15.65385913848877, 25.38758087158203, 24.80866050720215, 25.516759872436523]",0,3,0
pdm_2d_20250414_154220.png,pdm_1d_20250414_154220.png,"[15.4083833694458, 25.617691040039062, 23.337129592895508, 12.224161148071289]",0,1,1
pdm_2d_20250414_154304.png,pdm_1d_20250414_154304.png,"[16.280834197998047, 16.315990447998047, 22.502790451049805, 11.997042655944824]",0,2,2
pdm_2d_20250414_154352.png,pdm_1d_20250414_154352.png,"[15.160171508789062, 15.515754699707031, 11.289344787597656, 11.666519165039062]",0,1,3
None,None,"[15.160171508789062, 15.515754699707031, 11.289344787597656, 11.666519165039062]",0,1,4
