2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_162605.png,pdm_1d_20250411_162605.png,"[19.038597106933594, 17.000011444091797, 14.929671287536621, 3.537647008895874]",0,0,0
pdm_2d_20250411_162657.png,pdm_1d_20250411_162657.png,"[5.959516525268555, 23.537189483642578, 21.41012191772461, 5.012195587158203]",0,1,1
pdm_2d_20250411_162743.png,pdm_1d_20250411_162743.png,"[1.9854499101638794, 33.726898193359375, 23.35011863708496, 5.524074554443359]",2,1,2
pdm_2d_20250411_162829.png,pdm_1d_20250411_162829.png,"[0.8441944718360901, 33.90648651123047, 23.783422470092773, 5.769277095794678]",2,1,3
