2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_161729.png,pdm_1d_20250411_161729.png,"[20.479528427124023, 11.829090118408203, 15.255727767944336, 4.069199085235596]",0,0,0
pdm_2d_20250411_161820.png,pdm_1d_20250411_161820.png,"[6.254671096801758, 15.196097373962402, 20.095420837402344, 5.1636738777160645]",0,2,1
pdm_2d_20250411_161912.png,pdm_1d_20250411_161912.png,"[1.989082932472229, 16.459068298339844, 19.456148147583008, 5.907172679901123]",0,2,2
pdm_2d_20250411_162003.png,pdm_1d_20250411_162003.png,"[0.7017806768417358, 18.650983810424805, 5.9146575927734375, 5.915221214294434]",2,1,3
pdm_2d_20250411_162058.png,pdm_1d_20250411_162058.png,"[13.935147285461426, 33.63239669799805, 1.8519889116287231, 5.858686447143555]",0,1,4
None,None,"[13.935147285461426, 33.63239669799805, 1.8519889116287231, 5.858686447143555]",0,1,5
