2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250412_001026.png,pdm_1d_20250412_001026.png,"[16.359262466430664, 17.866172790527344, 15.222293853759766, 3.9583256244659424]",0,0,0
pdm_2d_20250412_001115.png,pdm_1d_20250412_001115.png,"[5.035534381866455, 22.676668167114258, 19.7265682220459, 5.163856029510498]",1,1,1
pdm_2d_20250412_001201.png,pdm_1d_20250412_001201.png,"[1.6417818069458008, 31.75760269165039, 23.55600929260254, 5.497190952301025]",2,1,2
None,None,"[1.6417818069458008, 31.75760269165039, 23.55600929260254, 5.497190952301025]",0,1,3
