2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_151513.png,pdm_1d_20250414_151513.png,"[18.701501846313477, 33.170047760009766, 13.718215942382812, 30.691255569458008]",0,1,0
pdm_2d_20250414_151555.png,pdm_1d_20250414_151555.png,"[21.526430130004883, 13.370171546936035, 13.131184577941895, 30.957799911499023]",0,3,1
pdm_2d_20250414_151639.png,pdm_1d_20250414_151639.png,"[20.487497329711914, 14.015583038330078, 13.66955852508545, 19.50919532775879]",0,0,2
pdm_2d_20250414_151723.png,pdm_1d_20250414_151723.png,"[2.365079402923584, 13.212308883666992, 12.972692489624023, 19.185256958007812]",0,3,3
pdm_2d_20250414_151810.png,pdm_1d_20250414_151810.png,"[1.8320504426956177, 13.325292587280273, 12.841257095336914, 5.116487979888916]",0,1,4
None,None,"[1.8320504426956177, 13.325292587280273, 12.841257095336914, 5.116487979888916]",0,1,5
