2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_163454.png,pdm_1d_20250411_163454.png,"[19.691904067993164, 18.2413387298584, 16.883169174194336, 3.8413407802581787]",0,0,0
pdm_2d_20250411_163547.png,pdm_1d_20250411_163547.png,"[6.103125095367432, 23.746339797973633, 21.948471069335938, 5.04281759262085]",0,1,1
pdm_2d_20250411_163636.png,pdm_1d_20250411_163636.png,"[2.076230764389038, 32.567237854003906, 23.512210845947266, 5.445117473602295]",2,1,2
None,None,"[2.076230764389038, 32.567237854003906, 23.512210845947266, 5.445117473602295]",0,1,3
