2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_220909.png,pdm_1d_20250411_220909.png,"[3.5869545936584473, 4.325398921966553, 22.75107765197754, 13.701911926269531]",0,2,0
pdm_2d_20250411_220953.png,pdm_1d_20250411_220953.png,"[4.637143135070801, 5.9952616691589355, 11.233177185058594, 18.46537971496582]",0,3,1
pdm_2d_20250411_221040.png,pdm_1d_20250411_221040.png,"[5.016620635986328, 6.512784004211426, 8.417847633361816, 13.786092758178711]",0,3,2
None,None,"[5.016620635986328, 6.512784004211426, 8.417847633361816, 13.786092758178711]",0,3,3
