2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_172642.png,pdm_1d_20250411_172642.png,"[11.053130149841309, 3.468280553817749, 5.375915050506592, 19.966596603393555]",0,3,0
pdm_2d_20250411_172726.png,pdm_1d_20250411_172726.png,"[12.80186653137207, 3.882593870162964, 3.1669888496398926, 1.9921746253967285]",0,0,1
pdm_2d_20250411_172808.png,pdm_1d_20250411_172808.png,"[0.577899694442749, 2.782965660095215, 2.962468385696411, 1.8971564769744873]",0,2,2
pdm_2d_20250411_172850.png,pdm_1d_20250411_172850.png,"[0.607374370098114, 1.5621525049209595, 1.3766005039215088, 5.7421345710754395]",0,3,3
pdm_2d_20250411_172934.png,pdm_1d_20250411_172934.png,"[0.6599742770195007, 2.1324596405029297, 1.1551430225372314, 1.9511772394180298]",0,1,4
pdm_2d_20250411_173021.png,pdm_1d_20250411_173021.png,"[0.4450374245643616, 10.697358131408691, 1.0886820554733276, 1.744248390197754]",0,1,5
None,None,"[0.4450374245643616, 10.697358131408691, 1.0886820554733276, 1.744248390197754]",0,1,6
