2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_152744.png,pdm_1d_20250414_152744.png,"[25.63689613342285, 29.346336364746094, 11.493526458740234, 31.90994644165039]",0,3,0
pdm_2d_20250414_152831.png,pdm_1d_20250414_152831.png,"[25.604169845581055, 29.05340003967285, 12.093636512756348, 15.595078468322754]",0,1,1
pdm_2d_20250414_152915.png,pdm_1d_20250414_152915.png,"[27.349559783935547, 10.036477088928223, 12.210928916931152, 15.14929485321045]",0,0,2
pdm_2d_20250414_152958.png,pdm_1d_20250414_152958.png,"[12.094900131225586, 10.470675468444824, 11.896123886108398, 15.761909484863281]",0,3,3
None,None,"[12.094900131225586, 10.470675468444824, 11.896123886108398, 15.761909484863281]",0,3,4
