2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_165404.png,pdm_1d_20250411_165404.png,"[18.62251091003418, 54.366756439208984, 18.136714935302734, 46.045867919921875]",0,1,0
pdm_2d_20250411_165442.png,pdm_1d_20250411_165442.png,"[20.242753982543945, 36.47392272949219, 18.34400749206543, 45.152061462402344]",0,3,1
pdm_2d_20250411_165528.png,pdm_1d_20250411_165528.png,"[21.80081558227539, 38.41695785522461, 18.74239730834961, 17.231046676635742]",0,1,2
None,None,"[21.80081558227539, 38.41695785522461, 18.74239730834961, 17.231046676635742]",0,1,3
