epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,938.463,0.37157,0.36642,0.2191,0.00177,0.16462,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000535281,0.000535281,0.000535281
31,968.854,0.37512,0.36977,0.22409,0.00179,0.16328,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000532187,0.000532187,0.000532187
32,999.182,0.36451,0.35777,0.22049,0.00174,0.16334,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000529094,0.000529094,0.000529094
33,1029.57,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000526,0.000526,0.000526
34,1059.98,0.36403,0.35744,0.2003,0.00174,0.14654,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000522906,0.000522906,0.000522906
35,1090.37,0.35534,0.35091,0.19791,0.00171,0.14862,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000519812,0.000519812,0.000519812
36,1120.64,0.34892,0.3573,0.19431,0.00165,0.14519,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000516719,0.000516719,0.000516719
37,1150.99,0.35742,0.35503,0.20529,0.0017,0.15368,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000513625,0.000513625,0.000513625
38,1181.39,0.35199,0.35129,0.20839,0.0017,0.1526,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000510531,0.000510531,0.000510531
39,1211.71,0.34952,0.35838,0.19949,0.00163,0.14148,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000507438,0.000507438,0.000507438
40,1242.12,0.3558,0.35246,0.20614,0.00169,0.15811,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000504344,0.000504344,0.000504344
41,1272.51,0.35386,0.35531,0.19721,0.00169,0.14443,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00050125,0.00050125,0.00050125
42,1302.77,0.3505,0.34838,0.19784,0.00164,0.14149,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000498156,0.000498156,0.000498156
43,1333.15,0.3383,0.34669,0.19257,0.00161,0.13567,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000495063,0.000495063,0.000495063
44,1363.54,0.33973,0.34575,0.18995,0.00163,0.14225,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000491969,0.000491969,0.000491969
