2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_144508.png,pdm_1d_20250414_144508.png,"[18.874794006347656, 31.788856506347656, 15.858296394348145, 36.49916458129883]",0,3,0
pdm_2d_20250414_144551.png,pdm_1d_20250414_144551.png,"[18.768404006958008, 32.69203186035156, 17.14759063720703, 18.08216667175293]",0,1,1
pdm_2d_20250414_144634.png,pdm_1d_20250414_144634.png,"[20.091806411743164, 13.631717681884766, 16.87726593017578, 18.379295349121094]",0,0,2
pdm_2d_20250414_144714.png,pdm_1d_20250414_144714.png,"[0.1820748746395111, 13.56613826751709, 16.755441665649414, 17.94194984436035]",0,3,3
pdm_2d_20250414_144754.png,pdm_1d_20250414_144754.png,"[0.22139844298362732, 13.370284080505371, 15.979593276977539, 4.7289838790893555]",0,2,4
pdm_2d_20250414_144840.png,pdm_1d_20250414_144840.png,"[0.2244490534067154, 13.287699699401855, 4.295010089874268, 4.684812545776367]",0,1,5
None,None,"[0.2244490534067154, 13.287699699401855, 4.295010089874268, 4.684812545776367]",0,1,6
