2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_210246.png,pdm_1d_20250414_210246.png,"[33.21567153930664, 31.286727905273438, 32.285484313964844, 34.9141960144043]",0,3,0
pdm_2d_20250414_210329.png,pdm_1d_20250414_210329.png,"[33.73855209350586, 31.47151756286621, 31.740005493164062, 11.609164237976074]",0,0,1
pdm_2d_20250414_210416.png,pdm_1d_20250414_210416.png,"[14.650657653808594, 31.206741333007812, 31.11626434326172, 12.037199020385742]",0,1,2
pdm_2d_20250414_210458.png,pdm_1d_20250414_210458.png,"[15.616805076599121, 11.323651313781738, 31.385303497314453, 11.49007797241211]",0,2,3
pdm_2d_20250414_210543.png,pdm_1d_20250414_210543.png,"[15.300602912902832, 11.419252395629883, 7.700069427490234, 11.099479675292969]",0,0,4
pdm_2d_20250414_210630.png,pdm_1d_20250414_210630.png,"[3.5711867809295654, 11.037396430969238, 7.532477855682373, 10.547826766967773]",0,1,5
pdm_2d_20250414_210711.png,pdm_1d_20250414_210711.png,"[4.007174491882324, 3.234945297241211, 7.498357772827148, 10.41660213470459]",0,3,6
None,None,"[4.007174491882324, 3.234945297241211, 7.498357772827148, 10.41660213470459]",0,3,7
