2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_163044.png,pdm_1d_20250411_163044.png,"[20.65074348449707, 17.87999725341797, 17.0737247467041, 3.845156669616699]",0,0,0
pdm_2d_20250411_163136.png,pdm_1d_20250411_163136.png,"[6.386166095733643, 23.075729370117188, 22.065391540527344, 4.946043968200684]",0,1,1
pdm_2d_20250411_163224.png,pdm_1d_20250411_163224.png,"[2.130908489227295, 34.54913330078125, 23.51197624206543, 5.505582332611084]",2,1,2
None,None,"[2.130908489227295, 34.54913330078125, 23.51197624206543, 5.505582332611084]",0,1,3
