2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_182050.png,pdm_1d_20250414_182050.png,"[23.430343627929688, 20.569101333618164, 17.585769653320312, 19.185579299926758]",0,0,0
pdm_2d_20250414_182135.png,pdm_1d_20250414_182135.png,"[9.926369667053223, 20.64735984802246, 16.469154357910156, 19.068714141845703]",0,1,1
pdm_2d_20250414_182215.png,pdm_1d_20250414_182215.png,"[9.364981651306152, 7.9116129875183105, 16.504228591918945, 19.0529842376709]",0,3,2
pdm_2d_20250414_182258.png,pdm_1d_20250414_182258.png,"[9.508040428161621, 8.204394340515137, 16.077232360839844, 10.475091934204102]",0,2,3
pdm_2d_20250414_182340.png,pdm_1d_20250414_182340.png,"[10.031501770019531, 8.612878799438477, 9.339500427246094, 10.840447425842285]",0,3,4
pdm_2d_20250414_182426.png,pdm_1d_20250414_182426.png,"[9.942237854003906, 8.433917045593262, 8.851473808288574, 1.7223361730575562]",0,0,5
pdm_2d_20250414_182508.png,pdm_1d_20250414_182508.png,"[1.1141585111618042, 8.413642883300781, 8.96493148803711, 1.7072709798812866]",0,2,6
None,None,"[1.1141585111618042, 8.413642883300781, 8.96493148803711, 1.7072709798812866]",0,2,7
