2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_173426.png,pdm_1d_20250411_173426.png,"[10.62267780303955, 0.7274154424667358, 3.907844305038452, 15.292359352111816]",0,3,0
pdm_2d_20250411_173509.png,pdm_1d_20250411_173509.png,"[11.660650253295898, 1.0683584213256836, 2.9916610717773438, 8.216772079467773]",0,0,1
pdm_2d_20250411_173551.png,pdm_1d_20250411_173551.png,"[0.36886799335479736, 0.7766429781913757, 3.23589825630188, 6.88243293762207]",0,3,2
pdm_2d_20250411_173633.png,pdm_1d_20250411_173633.png,"[0.40538856387138367, 0.9452489614486694, 2.018678665161133, 1.9797958135604858]",0,2,3
pdm_2d_20250411_173717.png,pdm_1d_20250411_173717.png,"[0.37231606245040894, 1.2065601348876953, 0.9288798570632935, 1.9031418561935425]",0,3,4
