2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_180707.png,pdm_1d_20250414_180707.png,"[3.8889427185058594, 12.846256256103516, 8.740153312683105, 21.902162551879883]",0,3,0
pdm_2d_20250414_180754.png,pdm_1d_20250414_180754.png,"[4.990149974822998, 16.32572364807129, 11.328868865966797, 13.150970458984375]",0,2,1
pdm_2d_20250414_180841.png,pdm_1d_20250414_180841.png,"[5.352038383483887, 17.28695297241211, 23.38912582397461, 11.259708404541016]",0,2,2
None,None,"[5.352038383483887, 17.28695297241211, 23.38912582397461, 11.259708404541016]",0,2,3
