2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_155846.png,pdm_1d_20250414_155846.png,"[29.817211151123047, 29.682802200317383, 14.687259674072266, 14.915989875793457]",0,0,0
pdm_2d_20250414_155934.png,pdm_1d_20250414_155934.png,"[10.512619018554688, 30.17872428894043, 15.401237487792969, 14.661127090454102]",0,1,1
pdm_2d_20250414_160017.png,pdm_1d_20250414_160017.png,"[10.638071060180664, 6.2743988037109375, 15.85388469696045, 14.971078872680664]",0,2,2
None,None,"[10.638071060180664, 6.2743988037109375, 15.85388469696045, 14.971078872680664]",0,2,3
