2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250414_153405.png,pdm_1d_20250414_153405.png,"[32.296539306640625, 25.264934539794922, 12.175308227539062, 26.3580322265625]",0,0,0
pdm_2d_20250414_153444.png,pdm_1d_20250414_153444.png,"[14.532750129699707, 25.536788940429688, 12.300213813781738, 27.708913803100586]",0,3,1
pdm_2d_20250414_153529.png,pdm_1d_20250414_153529.png,"[15.031587600708008, 24.630813598632812, 11.922122955322266, 12.342907905578613]",0,1,2
pdm_2d_20250414_153616.png,pdm_1d_20250414_153616.png,"[14.841714859008789, 4.452085018157959, 11.33305549621582, 11.731303215026855]",0,0,3
pdm_2d_20250414_153657.png,pdm_1d_20250414_153657.png,"[1.9654598236083984, 3.3498284816741943, 10.347984313964844, 12.30005168914795]",0,3,4
pdm_2d_20250414_153739.png,pdm_1d_20250414_153739.png,"[1.9749716520309448, 3.283740758895874, 11.870739936828613, 2.8340108394622803]",0,2,5
None,None,"[1.9749716520309448, 3.283740758895874, 11.870739936828613, 2.8340108394622803]",0,2,6
