2d_pdm,1d_pdm,fcn_data,action,column,step
pdm_2d_20250411_224320.png,pdm_1d_20250411_224320.png,"[8.786850929260254, 40.30571746826172, 42.10282516479492, 6.781462669372559]",0,2,0
pdm_2d_20250411_224409.png,pdm_1d_20250411_224409.png,"[11.446760177612305, 52.141788482666016, 18.855121612548828, 9.396732330322266]",0,0,1
pdm_2d_20250411_224454.png,pdm_1d_20250411_224454.png,"[3.6048226356506348, 55.81486511230469, 11.831327438354492, 10.134395599365234]",2,1,2
None,None,"[3.6048226356506348, 55.81486511230469, 11.831327438354492, 10.134395599365234]",0,1,3
